,beds,baths,size,zip_code,price,price_per_sqft
0,3,2.5,2590.0,98144,795000.0,30694980.694980696
1,4,2.0,2240.0,98106,915000.0,40848214.28571428
2,4,3.0,2040.0,98107,950000.0,46568627.450980395
3,4,3.0,3800.0,98199,1950000.0,51315789.473684214
4,2,2.0,1042.0,98102,950000.0,91170825.33589251
5,2,2.0,1190.0,98107,740000.0,62184873.949579835
6,1,1.0,670.0,98133,460000.0,68656716.41791044
7,5,3.5,4510.0,98105,3150000.0,69844789.35698448
8,3,2.5,1520.0,98108,565000.0,37171052.631578945
9,4,2.0,2340.0,98178,699000.0,29871794.871794872
10,3,2.0,1320.0,98103,899000.0,68106060.60606061
11,3,2.0,1800.0,98177,1050000.0,58333333.333333336
12,3,2.5,2490.0,98103,935625.0,37575301.20481928
13,4,3.0,2650.0,98115,1511000.0,57018867.9245283
14,5,1.5,2560.0,98199,1330000.0,51953125.0
15,2,1.5,900.0,98133,549755.0,61083888.88888889
16,3,3.5,1360.0,98103,700000.0,51470588.23529412
17,1,1.0,550.0,98122,330000.0,60000000.0
18,3,2.5,2974.0,98119,1750000.0,58843308.675184935
19,4,3.5,1989.0,98117,980000.0,49270990.44746104
20,2,2.0,1332.0,98199,845000.0,63438438.43843844
21,4,3.0,2668.0,98116,1213000.0,45464767.6161919
22,2,1.0,770.0,98133,530000.0,68831168.83116883
23,3,1.5,1280.0,98146,625000.0,48828125.0
24,5,3.5,3200.0,98133,1275000.0,39843750.0
25,2,1.5,889.0,98103,680000.0,76490438.6951631
26,1,1.0,508.0,98109,325000.0,63976377.952755906
27,3,2.0,3140.0,98117,1219700.0,38843949.04458599
28,4,2.0,2000.0,98125,907200.0,45360000.0
29,1,1.0,792.0,98101,517000.0,65277777.777777776
30,3,2.5,1690.0,98108,760000.0,44970414.20118343
31,4,5.5,3000.0,98126,1484000.0,49466666.666666664
32,3,3.0,1550.0,98115,950000.0,61290322.58064516
33,2,2.0,871.0,98119,430000.0,49368541.905855335
34,4,1.5,1940.0,98118,520000.0,26804123.711340208
35,1,1.0,474.0,98101,335000.0,70675105.48523207
36,3,2.0,1770.0,98146,805000.0,45480225.98870057
37,5,5.0,2510.0,98133,1000000.0,39840637.4501992
38,1,1.0,750.0,98199,375000.0,50000000.0
39,1,1.0,573.0,98102,390000.0,68062827.22513089
40,3,2.5,1500.0,98103,1070000.0,71333333.33333333
41,5,4.0,2920.0,98133,948000.0,32465753.424657535
42,3,2.0,2817.0,98103,912000.0,32374866.879659213
43,1,1.0,617.0,98109,480000.0,77795786.06158833
44,2,2.0,1280.0,98112,776000.0,60625000.0
45,2,2.0,1523.0,98121,1395000.0,91595535.12803677
46,2,1.0,1240.0,98126,750000.0,60483870.96774194
47,4,2.5,2280.0,98106,1065000.0,46710526.315789476
48,5,3.5,3590.0,98136,2350000.0,65459610.02785515
49,4,3.5,2478.0,98115,1580000.0,63761097.65940274
50,3,3.0,2360.0,98117,1775000.0,75211864.40677966
51,2,1.0,720.0,98177,600000.0,83333333.33333333
52,3,2.0,2480.0,98126,800000.0,32258064.51612903
53,3,2.0,1550.0,98199,1100000.0,70967741.93548387
54,2,1.0,780.0,98103,750000.0,96153846.15384616
55,5,3.0,2820.0,98136,865000.0,30673758.865248226
56,5,3.0,2900.0,98112,1450000.0,50000000.0
57,2,2.0,1092.0,98122,829000.0,75915750.91575092
58,3,2.0,1731.0,98125,575000.0,33217793.18313114
59,3,2.5,1500.0,98105,860000.0,57333333.333333336
60,2,2.5,1344.0,98122,770000.0,57291666.666666664
61,4,5.5,4040.0,98105,5495000.0,136014851.48514852
62,5,3.0,2320.0,98168,560000.0,24137931.03448276
63,5,3.0,2820.0,98136,900000.0,31914893.617021278
64,3,1.0,1070.0,98117,575000.0,53738317.75700934
65,2,1.0,1113.0,98102,595000.0,53459119.49685535
66,4,2.0,2100.0,98117,950000.0,45238095.23809524
67,3,2.5,2620.0,98119,1300000.0,49618320.610687025
68,3,2.0,1270.0,98103,727000.0,57244094.488188975
69,3,2.0,2702.0,98103,1605000.0,59400444.11547002
70,4,3.5,2031.0,98117,1480000.0,72870507.13934022
71,3,2.0,2350.0,98178,888000.0,37787234.042553194
72,4,1.5,2640.0,98115,1850000.0,70075757.57575758
73,3,1.5,1340.0,98106,615000.0,45895522.3880597
74,6,3.5,8660.0,98102,4100000.0,47344110.85450347
75,2,2.5,1365.0,98118,525000.0,38461538.461538464
76,1,1.0,635.0,98104,509950.0,80307086.61417323
77,3,1.0,1800.0,98168,549000.0,30500000.0
78,2,1.0,870.0,98118,555000.0,63793103.448275864
79,3,3.5,1510.0,98103,660000.0,43708609.27152318
80,3,1.0,1120.0,98106,615000.0,54910714.28571428
81,4,2.5,2580.0,98146,1635000.0,63372093.02325582
82,2,2.0,875.0,98115,420000.0,48000000.0
83,3,4.0,2220.0,98109,1650000.0,74324324.32432432
84,1,1.0,607.0,98119,427000.0,70345963.75617792
85,3,2.0,1496.0,98144,910000.0,60828877.005347595
86,4,3.5,2670.0,98118,1022700.0,38303370.78651685
87,2,1.5,1810.0,98115,925000.0,51104972.37569061
88,1,1.0,582.0,98109,360000.0,61855670.10309278
89,2,2.0,1006.0,98121,928000.0,92246520.8747515
90,3,5.5,1530.0,98103,635000.0,41503267.97385621
91,2,1.0,820.0,98118,490000.0,59756097.56097561
92,3,2.0,1960.0,98105,950000.0,48469387.75510204
93,4,3.0,2110.0,98133,760000.0,36018957.34597156
94,4,3.5,3010.0,98106,985000.0,32724252.491694354
95,3,1.0,2200.0,98105,1250000.0,56818181.81818182
96,3,2.5,1820.0,98118,690000.0,37912087.91208791
97,4,4.0,3040.0,98119,1585000.0,52138157.89473684
98,3,2.0,1800.0,98118,936000.0,52000000.0
99,1,1.0,800.0,98122,450000.0,56250000.0
100,3,3.0,1450.0,98117,750000.0,51724137.93103448
101,1,1.0,756.0,98121,550000.0,72751322.75132275
102,1,1.0,742.0,98126,354000.0,47708894.8787062
103,4,2.0,2400.0,98119,1385000.0,57708333.333333336
104,2,2.0,1607.0,98101,1865000.0,116054760.42314872
105,4,3.5,3057.0,98117,1800000.0,58881256.13346418
106,1,1.0,649.0,98105,346600.0,53405238.828967646
107,4,4.0,3142.0,98119,1600000.0,50922978.99427117
108,3,1.0,1050.0,98106,399950.0,38090476.190476194
109,3,2.0,1720.0,98199,855000.0,49709302.325581394
110,3,3.5,2650.0,98136,1095000.0,41320754.716981135
111,2,1.5,2680.0,98102,1125000.0,41977611.940298505
112,4,2.5,2550.0,98115,1560000.0,61176470.5882353
113,9,4.0,3800.0,98116,1343000.0,35342105.2631579
114,2,2.0,1320.0,98125,525000.0,39772727.27272727
115,4,2.0,1910.0,98168,630000.0,32984293.19371728
116,2,1.0,773.0,98133,360000.0,46571798.18887451
117,1,1.0,589.0,98121,375000.0,63667232.59762309
118,1,1.0,510.0,98102,302500.0,59313725.49019608
119,4,3.5,2661.0,98108,1165000.0,43780533.63397219
120,2,2.0,843.0,98103,346250.0,41073546.856465004
121,4,3.0,2250.0,98115,1150000.0,51111111.11111111
122,4,1.5,2080.0,98116,950000.0,45673076.92307692
123,3,3.5,1370.0,98117,699500.0,51058394.16058394
124,1,1.0,699.0,98115,335000.0,47925608.01144492
125,2,3.0,1840.0,98125,800000.0,43478260.86956522
126,4,3.5,3040.0,98177,1495000.0,49177631.578947365
127,2,1.0,858.0,98144,500000.0,58275058.27505828
128,5,8.5,3110.0,98115,1606500.0,51655948.55305466
129,2,2.0,1147.0,98115,749950.0,65383609.41586748
130,2,1.0,868.0,98144,415000.0,47811059.9078341
131,2,2.5,1538.0,98105,895000.0,58192457.7373212
132,2,1.0,1480.0,98126,720000.0,48648648.64864865
133,2,2.0,932.0,98103,435000.0,46673819.74248927
134,2,2.0,981.0,98133,450000.0,45871559.633027524
135,2,2.0,866.0,98107,555000.0,64087759.81524249
136,4,3.5,2000.0,98115,870000.0,43500000.0
137,3,3.5,1470.0,98117,845000.0,57482993.19727891
138,2,2.0,1840.0,98122,1200000.0,65217391.30434783
139,4,2.0,2230.0,98125,925000.0,41479820.62780269
140,2,1.5,1290.0,98115,795000.0,61627906.97674418
141,3,2.5,1670.0,98178,600000.0,35928143.71257485
142,1,1.0,630.0,98146,459000.0,72857142.85714285
143,3,2.0,1880.0,98144,911000.0,48457446.80851064
144,2,2.0,1188.0,98102,1350000.0,113636363.63636364
145,2,1.5,1300.0,98133,570288.0,43868307.692307696
146,1,1.0,857.0,98121,529000.0,61726954.492415406
147,2,2.0,1071.0,98119,605000.0,56489262.37161531
148,5,4.0,2810.0,98103,1295000.0,46085409.25266904
149,4,2.5,2400.0,98109,1595000.0,66458333.333333336
150,3,3.5,1670.0,98178,600000.0,35928143.71257485
151,3,2.5,2734.0,98109,1605200.0,58712509.14411119
152,3,2.5,1670.0,98117,865000.0,51796407.18562874
153,3,3.0,1530.0,98126,745000.0,48692810.45751634
154,4,1.0,1720.0,98122,543750.0,31613372.093023255
155,3,1.0,1200.0,98105,1099950.0,91662500.0
156,5,3.0,2030.0,98144,905000.0,44581280.78817734
157,3,2.0,2370.0,98126,1200000.0,50632911.39240506
158,3,1.5,1720.0,98117,825000.0,47965116.27906977
159,1,1.0,813.0,98121,680000.0,83640836.40836409
160,3,2.0,1590.0,98106,720000.0,45283018.86792453
161,1,1.0,626.0,98122,389200.0,62172523.96166134
162,2,1.0,840.0,98108,489000.0,58214285.71428572
163,2,2.0,1030.0,98122,575000.0,55825242.718446605
164,5,2.5,2870.0,98168,520000.0,18118466.898954704
165,1,1.0,792.0,98121,675000.0,85227272.72727273
166,2,1.5,994.0,98106,580000.0,58350100.60362173
167,3,2.0,1630.0,98168,630000.0,38650306.74846626
168,3,1.5,1172.0,98122,685000.0,58447098.976109214
169,3,2.0,1806.0,98126,799000.0,44241417.49723145
170,4,2.5,3060.0,98115,1450000.0,47385620.91503268
171,5,3.5,3820.0,98118,1350000.0,35340314.136125654
172,2,2.0,1328.0,98104,510000.0,38403614.45783132
173,3,2.5,2350.0,98115,1582800.0,67353191.4893617
174,3,2.5,2080.0,98117,977000.0,46971153.84615385
175,3,1.0,1000.0,98118,710000.0,71000000.0
176,2,1.5,1131.0,98144,685000.0,60565870.910698496
177,4,3.0,2230.0,98178,1205000.0,54035874.43946189
178,5,3.0,3130.0,98122,2095000.0,66932907.34824281
179,5,3.0,3750.0,98107,1580000.0,42133333.333333336
180,2,2.0,1080.0,98144,450000.0,41666666.666666664
181,2,2.0,1720.0,98116,985000.0,57267441.86046512
182,1,1.0,854.0,98107,455000.0,53278688.524590164
183,3,2.0,1286.0,98136,738000.0,57387247.278382584
184,2,1.5,1230.0,98122,650000.0,52845528.45528455
185,2,1.0,1422.0,98117,715000.0,50281293.95218003
186,4,3.5,3956.0,98125,3200000.0,80889787.66430739
187,6,5.0,3620.0,98119,1420000.0,39226519.337016575
188,3,1.5,1370.0,98178,659950.0,48171532.84671533
189,1,1.0,700.0,98144,325100.0,46442857.14285714
190,2,3.0,1824.0,98101,2458000.0,134758771.92982456
191,1,1.0,956.0,98104,870000.0,91004184.1004184
192,4,2.0,2370.0,98115,1350000.0,56962025.3164557
193,4,2.5,2200.0,98106,825000.0,37500000.0
194,6,3.0,3020.0,98178,775000.0,25662251.65562914
195,5,3.0,3400.0,98168,756500.0,22250000.0
196,3,1.0,1660.0,98115,749900.0,45174698.79518072
197,4,2.0,2080.0,98178,675000.0,32451923.076923076
198,2,1.5,917.0,98103,625000.0,68157033.80588877
199,2,1.0,900.0,98126,480000.0,53333333.333333336
200,4,4.5,3960.0,98144,2485000.0,62752525.252525255
201,1,1.0,889.0,98121,723000.0,81327334.0832396
202,5,3.5,3310.0,98115,1575000.0,47583081.57099698
203,1,1.0,621.0,98133,289900.0,46682769.72624799
204,3,3.5,1467.0,98144,859990.0,58622358.55487389
205,4,2.0,1910.0,98106,685000.0,35863874.34554974
206,3,2.5,1563.0,98118,839950.0,53739603.32693538
207,5,3.5,3340.0,98106,980000.0,29341317.36526946
208,4,3.0,2390.0,98119,1300000.0,54393305.43933054
209,2,1.5,1131.0,98144,670000.0,59239610.963748895
210,2,2.0,1201.0,98103,699950.0,58280599.500416316
211,3,3.0,1940.0,98199,450000.0,23195876.288659792
212,1,1.0,519.0,98105,354000.0,68208092.48554914
213,2,1.0,1760.0,98116,715000.0,40625000.0
214,4,3.0,1680.0,98117,905000.0,53869047.61904762
215,2,2.0,1192.0,98103,719950.0,60398489.93288591
216,4,4.0,2300.0,98105,1440000.0,62608695.652173914
217,3,2.5,2304.0,98117,1100000.0,47743055.55555555
218,4,4.0,2650.0,98103,1000000.0,37735849.056603774
219,5,4.0,4210.0,98105,2625000.0,62351543.94299287
220,4,3.0,2840.0,98177,1350000.0,47535211.26760563
221,2,1.0,980.0,98107,863000.0,88061224.48979592
222,4,4.5,2440.0,98105,1900000.0,77868852.4590164
223,2,2.0,1140.0,98117,590000.0,51754385.96491228
224,4,3.5,1824.0,98103,1299000.0,71217105.26315789
225,2,2.0,1115.0,98121,1069000.0,95874439.46188341
226,4,3.0,2478.0,98105,2095000.0,84543987.08635996
227,2,2.0,1140.0,98133,665000.0,58333333.333333336
228,3,1.5,1172.0,98122,685000.0,58447098.976109214
229,2,2.0,1433.0,98136,750000.0,52337752.965806
230,3,2.0,1520.0,98117,760000.0,50000000.0
231,3,2.5,1380.0,98106,590000.0,42753623.1884058
232,15,6.0,11010.0,98112,3700000.0,33605812.89736603
233,4,2.0,1750.0,98105,1025000.0,58571428.571428575
234,3,2.5,3590.0,98103,1725000.0,48050139.275766015
235,1,1.0,646.0,98133,332000.0,51393188.85448916
236,5,3.0,2040.0,98118,605000.0,29656862.74509804
237,2,2.0,1560.0,98115,980000.0,62820512.820512824
238,2,2.5,1088.0,98107,835000.0,76746323.52941176
239,2,1.0,1460.0,98115,400000.0,27397260.273972604
240,3,2.0,1380.0,98117,800000.0,57971014.492753625
241,2,1.0,1000.0,98116,793000.0,79300000.0
242,2,2.0,1128.0,98144,625000.0,55407801.418439716
243,1,1.0,776.0,98116,515000.0,66365979.3814433
244,3,2.5,2000.0,98106,799000.0,39950000.0
245,3,2.0,2029.0,98115,685000.0,33760473.13947757
246,4,5.5,2867.0,98115,1750000.0,61039414.02162539
247,4,3.0,1180.0,98117,956300.0,81042372.88135593
248,3,2.0,1920.0,98199,1067000.0,55572916.666666664
249,2,2.0,2220.0,98126,551000.0,24819819.81981982
250,2,3.0,1300.0,98107,780000.0,60000000.0
251,1,1.0,596.0,98109,445000.0,74664429.53020135
252,3,2.0,1460.0,98106,583000.0,39931506.84931507
253,3,2.5,2500.0,98117,1685000.0,67400000.0
254,3,2.5,1540.0,98122,852500.0,55357142.85714286
255,5,3.0,2550.0,98106,940000.0,36862745.09803922
256,2,2.0,1018.0,98199,545000.0,53536345.776031435
257,3,2.5,1520.0,98106,540700.0,35572368.421052635
258,1,1.0,640.0,98104,345000.0,53906250.0
259,4,3.0,2190.0,98126,860000.0,39269406.39269406
260,2,1.0,930.0,98133,620000.0,66666666.666666664
261,5,2.5,2900.0,98106,800000.0,27586206.896551725
262,4,3.5,2780.0,98112,950000.0,34172661.8705036
263,3,1.0,2560.0,98125,776000.0,30312500.0
264,1,1.0,613.0,98122,325000.0,53017944.53507341
265,3,2.5,1566.0,98122,875000.0,55874840.357598975
266,2,2.0,1245.0,98168,330000.0,26506024.096385542
267,3,2.5,1190.0,98144,750000.0,63025210.084033616
268,5,2.5,2760.0,98126,1025000.0,37137681.15942029
269,4,1.5,3260.0,98199,1695000.0,51993865.030674845
270,4,3.0,2380.0,98115,1399999.0,58823487.39495798
271,2,2.5,1884.0,98116,925000.0,49097664.543524414
272,3,2.5,1712.0,98117,910000.0,53154205.60747664
273,2,2.0,1196.0,98107,734999.0,61454765.88628762
274,3,2.0,1098.0,98105,864950.0,78775045.53734063
275,3,3.0,1250.0,98117,815000.0,65200000.0
276,1,1.0,880.0,98122,700000.0,79545454.54545455
277,2,1.5,822.0,98144,400000.0,48661800.486618005
278,4,2.0,1595.0,98118,525000.0,32915360.501567397
279,3,3.0,2380.0,98136,1230000.0,51680672.26890756
280,3,2.0,3190.0,98112,2700000.0,84639498.43260188
281,3,2.5,1465.0,98119,1175000.0,80204778.1569966
282,4,2.0,2910.0,98115,1400000.0,48109965.635738835
283,2,3.0,1140.0,98144,675000.0,59210526.315789476
284,1,1.0,500.0,98168,385000.0,77000000.0
285,3,2.0,1580.0,98126,942000.0,59620253.164556965
286,1,1.0,683.0,98121,601000.0,87994143.48462665
287,5,3.0,2430.0,98133,915000.0,37654320.98765432
288,2,2.0,1128.0,98136,479950.0,42548758.865248226
289,2,2.0,2360.0,98199,1460000.0,61864406.779661015
290,3,2.5,1396.0,98136,780000.0,55873925.501432665
291,1,1.0,615.0,98102,485000.0,78861788.61788619
292,4,2.0,2340.0,98115,925000.0,39529914.52991453
293,4,1.5,2140.0,98125,700500.0,32733644.859813083
294,4,3.0,2980.0,98105,1090000.0,36577181.20805369
295,3,1.5,1390.0,98168,412000.0,29640287.76978417
296,2,1.0,720.0,98106,525000.0,72916666.66666667
297,1,1.0,712.0,98133,325000.0,45646067.415730335
298,4,2.5,1850.0,98108,945000.0,51081081.08108108
299,3,4.5,1710.0,98126,725000.0,42397660.81871345
300,2,1.0,970.0,98106,386000.0,39793814.432989694
301,3,2.0,1606.0,98109,1450000.0,90286425.90286426
302,3,2.5,1815.0,98103,1295000.0,71349862.25895317
303,2,1.0,1120.0,98122,700000.0,62500000.0
304,4,2.0,2220.0,98177,995000.0,44819819.81981982
305,1,1.0,570.0,98116,345000.0,60526315.78947368
306,3,2.0,1460.0,98117,888000.0,60821917.80821918
307,5,3.0,3820.0,98116,1575000.0,41230366.4921466
308,3,3.5,2480.0,98119,1795000.0,72379032.25806452
309,5,3.0,2777.0,98125,1338600.0,48203096.86712279
310,2,2.0,1170.0,98144,624999.0,53418717.94871795
311,1,1.0,587.0,98125,260000.0,44293015.332197614
312,3,1.0,1430.0,98103,980000.0,68531468.53146853
313,2,5.5,1320.0,98144,679950.0,51511363.63636363
314,2,2.0,2170.0,98116,893000.0,41152073.73271889
315,1,1.0,635.0,98102,495000.0,77952755.90551181
316,3,1.5,1630.0,98115,895000.0,54907975.4601227
317,2,2.0,1900.0,98122,1310000.0,68947368.42105263
